,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
1781,2021-01-10 01:58,Casting Crowns,Good Good Father - Live,379213,Casting Crowns:Good Good Father - Live,0,,
1782,2021-01-10 02:04,Chris McClarney,God Of Miracles - Live,326613,Chris McClarney:God Of Miracles - Live,0,,
1783,2021-01-10 02:12,Hillsong Worship,No One But You - Live,522126,Hillsong Worship:No One But You - Live,0,,
1784,2021-01-10 02:17,Bethel Music,Goodness of God (Live),296400,Bethel Music:Goodness of God (Live),0,,
1785,2021-01-10 02:26,Jesus Culture,More Than Enough - Live,516363,Jesus Culture:More Than Enough - Live,0,,
1786,2021-01-12 16:46,Phil Wickham,How Great Is Your Love,394626,Phil Wickham:How Great Is Your Love,0,,
1787,2021-01-12 16:53,Bethel Music,Raise a Hallelujah (Live),470880,Bethel Music:Raise a Hallelujah (Live),0,,
1788,2021-01-12 16:56,Passion,There’s Nothing That Our God Can’t Do - Live,151516,Passion:There’s Nothing That Our God Can’t Do - Live,0,,
1789,2021-01-13 22:57,Passion,There’s Nothing That Our God Can’t Do - Live,152138,Passion:There’s Nothing That Our God Can’t Do - Live,0,,
1790,2021-01-13 22:58,Bethel Music,Stand in Your Love (Live),61378,Bethel Music:Stand in Your Love (Live),0,,
1791,2021-01-14 08:13,Bethel Music,Stand in Your Love (Live),187383,Bethel Music:Stand in Your Love (Live),0,,
1792,2021-01-14 08:20,Hillsong Worship,This I Believe (The Creed) - Live,401760,Hillsong Worship:This I Believe (The Creed) - Live,0,,
1793,2021-01-14 08:26,Citipointe Worship,Into The Deep - Live,388133,Citipointe Worship:Into The Deep - Live,0,,
1794,2021-01-14 08:31,All Sons & Daughters,Great Are You Lord - Live,290413,All Sons & Daughters:Great Are You Lord - Live,1,Live,4PYOh644yKjYyvyVUHqcof
1795,2021-01-14 08:38,Hillsong Young & Free,Lord Send Revival - Live,404040,Hillsong Young & Free:Lord Send Revival - Live,0,,
1796,2021-01-14 08:43,Passion,More Like Jesus - Live,338694,Passion:More Like Jesus - Live,0,,
1797,2021-01-14 08:48,Hillsong Worship,King Of Kings - Live,291565,Hillsong Worship:King Of Kings - Live,0,,
1798,2021-01-14 08:52,Passion,King Of Glory - Live,249013,Passion:King Of Glory - Live,0,,
1799,2021-01-14 08:57,one sonic society,Goodness of God (feat. Vertical Worship),287611,one sonic society:Goodness of God (feat. Vertical Worship),0,,
1800,2021-01-14 09:03,UPPERROOM,Rest on Us - Live,325701,UPPERROOM:Rest on Us - Live,0,,
1801,2021-01-14 09:05,Passion,How He Loves - Live,141306,Passion:How He Loves - Live,0,,
1802,2021-01-14 09:17,Passion,How He Loves - Live,61950,Passion:How He Loves - Live,0,,
1803,2021-01-14 17:49,Passion,How He Loves - Live,80037,Passion:How He Loves - Live,0,,
1804,2021-01-14 17:57,Elevation Worship,Resurrecting (Live),467062,Elevation Worship:Resurrecting (Live),0,,
1805,2021-01-14 18:05,Hillsong Worship,New Wine - Live,490000,Hillsong Worship:New Wine - Live,1,There Is More,1MX4dx6yNvAH2GjIVsUF4h
1806,2021-01-14 18:13,Elevation Worship,It Is So,350358,Elevation Worship:It Is So,0,,
1807,2021-01-14 18:20,Pat Barrett,Canvas And Clay - Live,400000,Pat Barrett:Canvas And Clay - Live,0,,
1808,2021-01-14 18:26,Elevation Worship,Do It Again,398427,Elevation Worship:Do It Again,0,,
1809,2021-01-14 18:30,Hillsong Worship,Here I Am To Worship - Live,220826,Hillsong Worship:Here I Am To Worship - Live,0,,
1810,2021-01-14 18:35,Jesus Culture,Fearless - Live,280519,Jesus Culture:Fearless - Live,0,,
1811,2021-01-14 18:43,Jesus Culture,Break Every Chain - Live,487506,Jesus Culture:Break Every Chain - Live,0,,
1812,2021-01-14 18:49,Bethel Music,No Longer Slaves (Spontaneous) - Live,373691,Bethel Music:No Longer Slaves (Spontaneous) - Live,0,,
1813,2021-01-14 18:56,UPPERROOM,To the One (Live),448808,UPPERROOM:To the One (Live),0,,
1814,2021-01-14 18:57,New Wine Worship,This Is Love - Live,18360,New Wine Worship:This Is Love - Live,0,,
1815,2021-01-14 23:32,Marie Denis,Willow,185000,Marie Denis:Willow,0,,
1816,2021-01-14 23:35,Ellie Holcomb,Constellations,220573,Ellie Holcomb:Constellations,0,,
1817,2021-01-14 23:39,Gordon Matthew Thomas Sumner,Fields of Gold,224690,Gordon Matthew Thomas Sumner:Fields of Gold,0,,
1818,2021-01-14 23:44,Anna Golden,PEACE,259399,Anna Golden:PEACE,0,,
1819,2021-01-14 23:50,Amanda Lindsey Cook,House on a Hill,364480,Amanda Lindsey Cook:House on a Hill,1,House on a Hill,6Jp3Z3rrb2sfZjVmDhD2Jq
1820,2021-01-14 23:57,Cecilia De Maria,Baroque Flamenco,441200,Cecilia De Maria:Baroque Flamenco,0,,
1821,2021-01-15 00:01,Alex Blue,Landslide,230883,Alex Blue:Landslide,0,,
1822,2021-01-15 00:03,Comet Blue,Stars Light Up The Water,136625,Comet Blue:Stars Light Up The Water,0,,
1823,2021-01-15 00:09,Brandon Lake,Gratitude,337560,Brandon Lake:Gratitude,0,,
1824,2021-01-15 00:12,JP Saxe,Kissin' In The Cold,224084,JP Saxe:Kissin' In The Cold,0,,
